OID_,ADDRESS,NUMBER_OF_PAYPHONES,BUROUGH,BUROUGH_ID,OPERATOR,COMMUNITY_BOARD,POINT,LATITUDE,LONGITUDE,LOCATION,ADVERTISING,WI_FI
3174,250 EAST 90 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.95099015 40.78089842),40.780898420000000,-73.950990150000000,CURBSIDE,TRUE,FALSE
3175,160 EAST 50 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.9715969 40.756167),40.756167000000000,-73.971596900000000,CURBSIDE,TRUE,FALSE
3176,61 WEST 46 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98088755 40.75682216),40.756822160000000,-73.980887550000000,CURBSIDE,TRUE,FALSE
3177,122 VARICK STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,2,POINT (-74.00590597 40.72492959),40.724929590000000,-74.005905970000000,CURBSIDE,TRUE,FALSE
3178,719 7 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98423289 40.75974582),40.759745820000000,-73.984232890000000,CURBSIDE,TRUE,FALSE
3179,62 WEST 47 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98046866 40.75745064),40.757450640000000,-73.980468660000000,CURBSIDE,TRUE,FALSE
3180,7 WEST 48 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.97855919 40.75748324),40.757483240000000,-73.978559190000000,CURBSIDE,TRUE,FALSE
3181,26 VARICK STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.00665957 40.72058185),40.720581850000000,-74.006659570000000,CURBSIDE,TRUE,FALSE
3182,33 EAST 83 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96046971 40.77901369),40.779013690000000,-73.960469710000000,CURBSIDE,TRUE,FALSE
3183,2310 BROADWAY,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,7,POINT (-73.97779503 40.78675299),40.786752990000000,-73.977795030000000,CURBSIDE,TRUE,FALSE
3184,2400 AMSTERDAM AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,12,POINT (-73.93179234 40.84690195),40.846901950000000,-73.931792340000000,CURBSIDE,TRUE,FALSE
3185,1674 BROADWAY,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98310948 40.76286095),40.762860950000000,-73.983109480000000,CURBSIDE,TRUE,FALSE
3186,29 EAST 76 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96385902 40.77451068),40.774510680000000,-73.963859020000000,CURBSIDE,TRUE,FALSE
3187,100 EAST 52 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.97274746 40.75828622),40.758286220000000,-73.972747460000000,CURBSIDE,TRUE,FALSE
3188,1362 6 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.97802671 40.76316201),40.763162010000000,-73.978026710000000,CURBSIDE,TRUE,FALSE
3189,401 EAST 66 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.95843911 40.76385652),40.763856520000000,-73.958439110000000,CURBSIDE,TRUE,FALSE
3190,599 7 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98701309 40.75593372),40.755933720000000,-73.987013090000000,CURBSIDE,TRUE,FALSE
3191,500 8 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.99290408 40.75294246),40.752942460000000,-73.992904080000000,CURBSIDE,TRUE,FALSE
3192,135 EAST 106 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,11,POINT (-73.94665154 40.79241065),40.792410650000000,-73.946651540000000,CURBSIDE,TRUE,FALSE
3193,75 WEST 48 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98060195 40.7583427),40.758342700000000,-73.980601950000000,CURBSIDE,TRUE,FALSE
3194,76 EAST 1 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,3,POINT (-73.98809819 40.72312582),40.723125820000000,-73.988098190000000,CURBSIDE,TRUE,FALSE
3195,500 WEST 207 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,12,POINT (-73.91897591 40.86446525),40.864465250000000,-73.918975910000000,CURBSIDE,TRUE,FALSE
3196,28 EAST 31 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98408463 40.74574211),40.745742110000000,-73.984084630000000,CURBSIDE,TRUE,FALSE
3197,37 WEST 43 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98170388 40.75471708),40.754717080000000,-73.981703880000000,CURBSIDE,TRUE,FALSE
3198,1431 BROADWAY,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98701339 40.75438843),40.754388430000000,-73.987013390000000,CURBSIDE,TRUE,FALSE
3199,1100 6 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98403551 40.754937),40.754937000000000,-73.984035510000000,CURBSIDE,TRUE,FALSE
3200,430 WEST 125 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,9,POINT (-73.95508914 40.81200061),40.812000610000000,-73.955089140000000,CURBSIDE,TRUE,FALSE
3201,60 EAST 52 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.97397452 40.75880526),40.758805260000000,-73.973974520000000,CURBSIDE,TRUE,FALSE
3202,82 LIBERTY STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.01071986 40.70922921),40.709229210000000,-74.010719860000000,CURBSIDE,TRUE,FALSE
3203,53 EAST 20 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98885318 40.7387957),40.738795700000000,-73.988853180000000,CURBSIDE,TRUE,FALSE
3204,160 CANAL STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,3,POINT (-73.99673896 40.71645113),40.716451130000000,-73.996738960000000,CURBSIDE,TRUE,FALSE
3205,395 GRAND STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,3,POINT (-73.98730583 40.71611836),40.716118360000000,-73.987305830000000,CURBSIDE,TRUE,FALSE
